E  |||  
E  |||  
E  |||  
E  |||  
M  |||  BLADE RUNNER
C  |||  DECKARD
D  |||  He's very proud of them. He ran them
D  |||  on a scanner for me.
E  |||  
N  |||  Rachael just stares at him, stunned and barely holding on.
E  |||  
C  |||  DECKARD
D  |||  Still don't believe me ?
E  |||  
C  |||  RACHAEL
D  |||  I... I...
E  |||  
C  |||  DECKARD
D  |||  Right. I made it all up. You're not
D  |||  a replicant. It was a nasty joke. Go home.
E  |||  
N  |||  Rachael is biting her lip or something, holding it back.
E  |||  
C  |||  DECKARD
D  |||  Go on. Beat it. Sorry. Bad joke.
E  |||  
N  |||  Deckard sees he's gotten through... maybe too far.
E  |||  
C  |||  DECKARD
D  |||  Wanna drink ?
E  |||  
N  |||  She's completely destroyed, silent.
E  |||  
C  |||  DECKARD
D  |||  I'll getcha one.
E  |||  
N  |||  Deckard hurries out.
E  |||  
N  |||  The CLOCK IS TICKING.
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  INT. KITCHEN - NIGHT
E  |||  
N  |||  Deckard is peering at her from the doorway, a Peeping
N  |||  Tom. He sees the shaking hands. He doesn't like this
N  |||  shit.
E  |||  
N  |||  He turns his attention to getting the drink. The
N  |||  kitchen is a disaster area, dirty dishes overflowing
N  |||  from the sink the way a plant grows out of a pot.
E  |||  
N  |||  Deckard opens the refrigerator. The contents aren't
N  |||  messy so much as unusual. He opens the freezer com-
N  |||  partment and pulls out a bottle of Tsing Tao vodka
N  |||  and eyes it. Half-empty.
E  |||  
N  |||  He rummages among the dirty dishes for a glass that
N  |||  doesn't actually have fungus growing in it. He finds
N  |||  one that's only greasy, wipes it with a dirty towel
N  |||  (making it greasier) and pours vodka into it.
E  |||  
N  |||  He heads back into the living room.
E  |||  
E  |||  
M  |||  INT. LIVING ROOM - NIGHT
E  |||  
N  |||  Deckard stops in the doorway,surprised.
E  |||  
N  |||  The room is empty. Rachael is gone.
E  |||  
N  |||  Deckard stares at the empty room for a long moment. Then
N  |||  he chug-a-lugs the vodka. As he brings his head back and
N  |||  winces from the fiery booze he sees something.
E  |||  
N  |||  Something crumpled on the floor.
E  |||  
N  |||  He goes over and picks it up.
E  |||  
N  |||  It's the picture of Rachael with her parents. He studies
N  |||  it.
E  |||  
N  |||  On the other side is a phone number.
E  |||  
N  |||  Deckard walks over to the window and stares out.
E  |||  
N  |||  A spinner flashes by smearing light on his face.
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  EXT. AN ABANDONED BUILDING - NIGHT
E  |||  
N  |||  Pris exits the building and starts across the street.
E  |||  
N  |||  A spinner rockets past overhead. She reacts nervously
N  |||  watches the spinner slide away.
E  |||  
N  |||  She crosses the street past a window full of wedding dresses
N  |||  as the spinner zips off in the distance.
E  |||  
E  |||  
M  |||  EXT. SEBASTIAN'S BUILDING - NIGHT
E  |||  
N  |||  Pris walks under the art deco marquee between the twisted
N  |||  corduroy columns and into the foyer.
E  |||  
N  |||  She picks a spot near the entrance and is covering herself with
N  |||  old newspapers and trash for warmth when she hears a strange
C  |||  NOISE.
E  |||  
N  |||  A weird street cleaning MACHINE GRINDS past.
E  |||  
N  |||  Pris watches the machine with interest, then huddles
N  |||  under the trash.
E  |||  
N  |||  A battered old truck, Sebastian's, SPUTTER AND FARTS
N  |||  to a halt in front.
E  |||  
N  |||  SEBASTIAN gets out, a young man with skin that is yel-
N  |||  lowing into old parchment. He's wearing a World War
N  |||  Two leather pilot's cap and dark goggles and carrying
N  |||  a pack.
E  |||  
N  |||  In spite of his youth, he carries himself like Old
N  |||  China as he walks toward the entrance with the gait
N  |||  of an old man.
E  |||  
N  |||  Sebastian stumbles over the trash covered body of Pris
N  |||  and Pris leaps to her feet and start to run like a
N  |||  frightened gazelle.
E  |||  
C  |||  SEBASTIAN
D  |||  Hey!
E  |||  
N  |||  He reaches down and picks up the bag she left in the
N  |||  trash.
E  |||  
C  |||  SEBASTIAN
D  |||  You forgot your bag.
E  |||  
N  |||  He's holding it up.
E  |||  
N  |||  She eyes him from a distance... unsure of him. Then
N  |||  she moves toward him tentatively.
E  |||  
N  |||  Sebastian smiles awkwardly and holds out the bag.
E  |||  
C  |||  PRIS
D  |||  I'm lost.
E  |||  
C  |||  SEBASTIAN
D  |||  Don't worry, I won't hurt you.
E  |||  
N  |||  Both of them are silent. People are not Sebastian's
N  |||  forte... usually he's too shy, but this girl is shyer
N  |||  still. Plus they're about the same age... it gives
N  |||  him courage.
E  |||  
C  |||  SEBASTIAN
D  |||  What's your name?
E  |||  
C  |||  PRIS
D  |||  Pris.
E  |||  
C  |||  SEBASTIAN
D  |||  Mine's J.F. Sebastian.
E  |||  
C  |||  PRIS
D  |||  Hi.
E  |||  
N  |||  So pleased with the way that went, he forgets for a
N  |||  while what comes next.
E  |||  
C  |||  SEBASTIAN
D  |||  Oh... where were you going?
E  |||  
N  |||  She shrugs. That leaves him a lot of responsibility.
N  |||  He throws her side-long glances, but she's not helping.
E  |||  
C  |||  SEBASTIAN
D  |||  Home?
E  |||  
C  |||  PRIS
D  |||  I don't have one.
E  |||  
C  |||  SEBASTIAN
D  |||  Oh.
E  |||  
N  |||  She looks at him, a shadow of enticement in her clear
N  |||  blue eyes.
E  |||  
C  |||  PRIS
D  |||  We scared each other pretty good,
D  |||  didn't we?
E  |||  
C  |||  SEBASTIAN
D  |||  We sure did.
E  |||  
N  |||  She giggles and laughs.
E  |||  
C  |||  PRIS
D  |||  I'm hungry, J.F.
E  |||  
C  |||  SEBASTIAN
D  |||  I've got stuff inside, you wanna
D  |||  come in.
E  |||  
C  |||  PRIS
D  |||  I was hoping you'd say that.
E  |||  
N  |||  Sebastian's grey face flushes with pleasure. He turns
N  |||  and inserts a key in the ornate iron mesh door and
N  |||  swings it open.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. SEBASTIAN'S LOBBY - NIGHT (SHOT)
E  |||  
N  |||  Stacks of gaudy balconies loom into shadows above.
E  |||  
N  |||  Overhead lights reveal a shark-like blimp cruising
N  |||  above the building glowing with advertisements.
E  |||  
N  |||  Pris stares in wonder.
E  |||  
C  |||  PRIS
D  |||  And you live in this building all
D  |||  by yourself ?
E  |||  
C  |||  SEBASTIAN
D  |||  Yeah, I live here pretty much alone
D  |||  right now....
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  INT. CAGE ELEVATOR (SHOT)
E  |||  
N  |||  Pris and Sebastian are standing in the mesh elevator
N  |||  as it grumbles noisily into the shadows above.
E  |||  
E  |||  
M  |||  INT. CORRIDOR - NIGHT (SHOT)
E  |||  
N  |||  Pris and Sebastian are standing in the mesh elevator
N  |||  as it grumbles noisily into the shadows above.
E  |||  
E  |||  
M  |||  INT. CORRIDOR - NIGHT (SHOT)
E  |||  
N  |||  Sebastian and Pris walk down the corridor towards
N  |||  his apartment .
E  |||  
M  |||  PRIS (WILD LINE)
M  |||  No housing shortage around here.
E  |||  
M  |||  SEBASTIAN (WILD LINE)
M  |||  Plenty of room for everybody... most
M  |||  of the others have emigrated already.
E  |||  
E  |||  
M  |||  INT. CORRIDOR - NIGHT
E  |||  
N  |||  Sebastian is unlocking his door. He opens the door
N  |||  and ushers Pris into the apartment.
E  |||  
E  |||  
M  |||  INT. SEBASTIAN'S APARTMENT -NIGHT
E  |||  
N  |||  Sebastian flicks on the light revealing the high
N  |||  walls, elegant moulding and strange contents.
E  |||  
N  |||  A three foot high Kaiser Wilhelm figure and a teddy
N  |||  bear dressed as Napoleon march into view from a
N  |||  doorway. An alarm sounds.
E  |||  
C  |||  SEBASTIAN
D  |||  Yoo hoo, home again, home again!
E  |||  
C  |||  BEAR
D  |||  Good evening J.F.
E  |||  
N  |||  The alarm cuts out.
E  |||  
N  |||  The Bear and Kasier Wilhelm stare woodenly at Pris
N  |||  for a moment, then turn away disappearing into the gloom.
E  |||  
C  |||  SEBASTIAN
D  |||  They're my friends... here,
D  |||  can I take your things, they're soaked.
E  |||  
C  |||  BEAR
D  |||  (muttering)
D  |||  Home again, home again, jiggidy jig.
E  |||  
N  |||  Pris is delighted. She strips off her topcoat,
N  |||  revealing a shape to pop eyes.
E  |||  
C  |||  SEBASTIAN
D  |||  (besides himself)
D  |||  Where are your folks ?
E  |||  
C  |||  PRIS
D  |||  I'm sort of an orphan.
E  |||  
N  |||  Pris smiles.
E  |||  
C  |||  SEBASTIAN
D  |||  What about friends?
E  |||  
C  |||  PRIS
D  |||  I have some, but I have to find them....
D  |||  I'll let them know where I am tomorrow.
E  |||  
C  |||  SEBASTIAN
D  |||  Oh!
E  |||  
N  |||  There is a silence. He steals a glance at her.
E  |||  
C  |||  SEBASTIAN
D  |||  Well..... I can sleep on the couch.
E  |||  
C  |||  PRIS
D  |||  Watch the bed bugs don't bite !
E  |||  
E  |||  
M  |||  INT. DECKARD'S APARTMENT - NIGHT
E  |||  
N  |||  A blurry photograph, unclear, FILLS THE SCREEN.
E  |||  
N  |||  The photograph intensified. The foreground BLURS AND
N  |||  SHARPENS. it's the "man" in Leon's room with the
N  |||  wardrobe behind him. The head is turned away and
N  |||  downward, the face unreadable.
E  |||  
N  |||  Another change! A dramatic one. The picture is
N  |||  suddenly three dimensional.
E  |||  
N  |||  Now we see that Deckard is studying the picture in a
N  |||  viewer controlling the effects with punch controls.
E  |||  
N  |||  The ashtray next to him is full of butts. The bottle
N  |||  of vodka is nearly empty.
E  |||  
N  |||  He sucks on his cigarette and empties the vodka bottle
N  |||  into his glass and goes back to peering into the
N  |||  viewer.
E  |||  
N  |||  He punches up.
E  |||  
N  |||  A transparent grid with vectors is superimposed over
N  |||  the photo.
E  |||  
N  |||  Deckard's eyes move over it carefully.
E  |||  
C  |||  DECKARD
D  |||  Sharpen line forty-eight between
D  |||  twenty point twenty-seven.
E  |||  
N  |||  The edge of the man sharpens.
E  |||  
C  |||  DECKARD
D  |||  Profile trace.
E  |||  
N  |||  Slowly the view tracks the periphery of the man's
N  |||  shoulder, up and around the skull, down the other
N  |||  side and as it approaches the bottom of the picture
N  |||  passes a miniscule sparkle...
E  |||  
C  |||  DECKARD
D  |||  Stop. Back up.
E  |||  
N  |||  The line is retraced.
E  |||  
C  |||  DECKARD
D  |||  Stop.
E  |||  
N  |||  The faintest little sparkle. Static. Almost nothing.
N  |||  Deckard leans forward.
E  |||  
C  |||  DECKARD
D  |||  Enhance.
E  |||  
N  |||  The view squeezes in. The "spark" seems to be coming
N  |||  from about fifteen feet behind the figure -- from
N  |||  within the wardrobe.
E  |||  
C  |||  DECKARD
D  |||  Seesaw.
E  |||  
N  |||  After a short pause, as if the command causes the
N  |||  machine to strain, it emits a thin, high-pitched
N  |||  FREQUENCY SOUND and the picture begins a horizontal
N  |||  yawing motion. As it swings back and forth glimpses
N  |||  of things previously obscured by the foreground
N  |||  figure are revealed. Slightly at first, but the
N  |||  opening grows as the process picks up momentum.
E  |||  
N  |||  Deckard's right down there, hands on his knees like
N  |||  a man watching his favorite team make a crucial play.
E  |||  
C  |||  DECKARD
D  |||  Stop!
E  |||  
N  |||  The picture freezes.
E  |||  
C  |||  DECKARD
D  |||  Enhance.
E  |||  
N  |||  The view pushes in to the wardrobe. In its gloomy
N  |||  recesses hangs a dress.
E  |||  
C  |||  DECKARD
D  |||  Enhance.
E  |||  
N  |||  In closer on the dress. An exotic shimmering gown
N  |||  made of sequins. Deckard ponders it, smiles slightly.
E  |||  
C  |||  DECKARD
D  |||  I don't suppose one of those males
D  |||  has a transvestite problem.
E  |||  
N  |||  Pause.
E  |||  
C  |||  DECKARD
D  |||  Hey!
E  |||  
N  |||  Esper wakes up.
E  |||  
C  |||  ESPER
D  |||  Yes?
E  |||  
C  |||  DECKARD
D  |||  I said, I don't suppose one of
D  |||  those males has a transvestite
D  |||  problem.
E  |||  
N  |||  Pause.
E  |||  
C  |||  ESPER
D  |||  Negative.
E  |||  
N  |||  Deckard considers the situation for a few moments,
N  |||  then frowns thoughtfully and fishes his wallet out of
N  |||  his pocket. He produces the flakes he found in the
N  |||  hotel room.
E  |||  
N  |||  Deckard lights a cigarette.
E  |||  
N  |||  The flake.
E  |||  
N  |||  He's holding it on the tip of his finger under the
N  |||  light of the console screen. He sits down, studying
N  |||  it like Hamlet, contemplating Yorick's skull. But
N  |||  for the HUM OF THE MACHINE, a long silence.
E  |||  
C  |||  ESPER
D  |||  You're gonna have a fire if you
D  |||  don't turn off the machine.
E  |||  
N  |||  Absently, Deckard reaches out and flips it off. He
N  |||  sits a while in the silent dark. Then goes into the
N  |||  bathroom.
E  |||  
E  |||  
M  |||  INT. SHOWER - NIGHT
E  |||  
N  |||  Deckard stands in the shower, his cigarette still in
N  |||  his mouth.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. NOODLE BAR - NIGHT
E  |||  
N  |||  It might be 2:00 a.m. but the joint is still crowded
N  |||  as noisy taxi drivers jostle each other for seats and
N  |||  jabber in Kangaroo, a crude lingual mix of Chinese,
N  |||  Japanese, French and Tagalog.
E  |||  
N  |||  Deckard is hunched over his bowl of noodles, slurping
N  |||  hungrily from his busy chopsticks.
E  |||  
N  |||  Whap! The counterman slaps a serving of fish heads on
N  |||  the counter in front of a CHINESE sitting next to
N  |||  Deckard.
E  |||  
N  |||  Startled by the sound Deckard glances at the bowl of
N  |||  fish heads, then turns his attention back to his
N  |||  noodles.
E  |||  
N  |||  But after two bites he frowns and turns to look at
N  |||  the fish heads again.
E  |||  
N  |||  The Chinese is eating the flesh hungrily from a head.
N  |||  He cleans the skull and drops it on the plate.
E  |||  
N  |||  Deckard stares at the heads with their blank stares
N  |||  that seem to gaze at eternity.
E  |||  
N  |||  Deckard is thinking.
E  |||  
N  |||  The Chinese is eating.
E  |||  
N  |||  Deckard frowns lost in furious thought. Suddenly he
N  |||  reaches out and grabs a fish head.
E  |||  
N  |||  The Chinese goes bug-eyed with indignation.
E  |||  
C  |||  CHINESE
D  |||  (in Chinese)
D  |||  What the hell are you doing, you
D  |||  moronic ahng mo dim bulb? That's
D  |||  my goddamn dinner you (in English)
D  |||  dumb shit!
E  |||  
N  |||  Deckard is peeling scales off the fish head. He grabs
N  |||  his wallet, produces the flake and compares it to the
N  |||  scales from the head. He ignores the ranting of the
N  |||  Chinese as he stares at the flake next to the scales.
E  |||  
C  |||  DECKARD
D  |||  Fish!
E  |||  
C  |||  CHINESE
D  |||  (in Chinese)
D  |||  What do you expect you get from
D  |||  fish head, stupid?
D  |||  (in English)
D  |||  Elephant shit?
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. ANIMAL ROW - NIGHT
E  |||  
N  |||  An aquarium full of fish, weird looking fish, the
N  |||  kind that might eat each other. They're gliding in
N  |||  sinister clusters like Doberman pinschers with gills.
E  |||  
N  |||  The CAMBODIAN LADY is a withered woman in black.
N  |||  She's got a lens in her eye and she's looking at the
N  |||  flake which is on the tip of her finger.
E  |||  
M  |||  CAMBODIAN LADY
M  |||  Not fish! Snake !
E  |||  
N  |||  And she points down the row.
E  |||  
N  |||  Deckard looks that way and we.........
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  MICROSCOPIC VIEW - NIGHT
E  |||  
N  |||  We are looking at a huge enlargement of a snake scale
N  |||  seen through a microscope.. but we don't know that.
N  |||  It's just a grand abstract weirdness blurring and
N  |||  sharpening and changing.
E  |||  
M  |||  EGYPTIAN (OS)
M  |||  The finest quality, yeeeeeeessssss.
M  |||  Perfect workmanship.
M  |||  Geniune artificial snake.
E  |||  
N  |||  The flake becomes a landscape of forests and moon-
N  |||  scapes. Buried deep in the texture of the thing is a
N  |||  serial number.
E  |||  
M  |||  EGYPTIAN (OS)
M  |||  Serial Number 99069745xb7Y
M  |||  That would indicate a Crotalus
M  |||  Atrox......
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  EXT. EGYPTIANS JOINT - NIGHT
E  |||  
N  |||  We see the Egyptian for the first time as he takes
N  |||  his eye from the viewer and points to a snake in one
N  |||  of the many tanks that writhe with groggy reptiles.
E  |||  
C  |||  EGYPTIAN
D  |||  (continuing)
D  |||  ... such as that one there with
D  |||  the black and white ring on tail.
D  |||  (making a whirring noise)
D  |||  Western Diamon Back....
D  |||  (whirr)
D  |||  Rattler.
E  |||  
N  |||  Deckard is looking at the ugly serpent.
E  |||  
N  |||  The Egyptian hands the scale back to Deckard.
E  |||  
C  |||  DECKARD
D  |||  Who made it ?
E  |||  
C  |||  EGYPTIAN
D  |||  This quality... not too many.
E  |||  
C  |||  DECKARD
D  |||  How many ?
E  |||  
C  |||  EGYPTIAN
D  |||  Very few.
E  |||  
C  |||  DECKARD
D  |||  How few ?
E  |||  
C  |||  EGYPTIAN
D  |||  Perhaps less than I thought....
D  |||  but still, more than I can remember.
E  |||  
C  |||  DECKARD
D  |||  What helps you to remember ?
E  |||  
N  |||  The Egyptian pushes a hand out in front of him, revolving
N  |||  the thumb slowly against the next two fingers.
E  |||  
N  |||  Deckard slips a card out of his pocket and into the
N  |||  man's fingers. It's a police card. It gets a super-
N  |||  cilious smile, a sigh and a shrug. And that's all
N  |||  it gets. The man knows his rights. The card is
N  |||  handed back. The smile remains.
E  |||  
C  |||  EGYPTIAN
D  |||  What was the question again?
E  |||  
C  |||  DECKARD
D  |||  The question is...
E  |||  
N  |||  Deckard steps in closer.
E  |||  
C  |||  DECKARD
D  |||  Are you a citizen?
E  |||  
C  |||  EGYPTIAN
D  |||  Yes.
E  |||  
C  |||  DECKARD
D  |||  Naturalized?
E  |||  
C  |||  EGYPTIAN
D  |||  Yes.
E  |||  
C  |||  DECKARD
D  |||  Your papers are in order.
E  |||  
C  |||  EGYPTIAN
D  |||  Of course.
E  |||  
N  |||  This guy's got it covered.
E  |||  
C  |||  DECKARD
D  |||  You have a license for this
D  |||  establishment?
E  |||  
N  |||  He points it out with a righteous finger.
E  |||  
C  |||  DECKARD
D  |||  Fire permit?
E  |||  
C  |||  EGYPTIAN
D  |||  Right here.
E  |||  
N  |||  He lifts it out of a drawer, displays it. A long
N  |||  pause. The Egyptian smiles smugly. It pays to have
N  |||  things covered. Deckard pushes closer.
E  |||  
C  |||  DECKARD
D  |||  In two seconds I'm gonna break
D  |||  your fuckin' spine if you don't
D  |||  tell me what I wanna know.
E  |||  
N  |||  Pause.
E  |||  
C  |||  EGYPTIAN
D  |||  I see.
E  |||  
N  |||  Deckard's face is two inches away. It's all very
N  |||  plain.
E  |||  
C  |||  EGYPTIAN
D  |||  In that case, I think I will be obliged
D  |||  to tell you that one of two men could
D  |||  have done this.
E  |||  
C  |||  DECKARD
D  |||  Who ?
E  |||  
C  |||  EGYPTIAN
D  |||  Me.
E  |||  
N  |||  The Egyptian works on an uncertain shit-eating grin
N  |||  hoping to charm his way out of a hole.
E  |||  
N  |||  Deckard lets him sweat for a beat or two, looking hard.
E  |||  
C  |||  DECKARD
D  |||  Who do you sell your junk to .
E  |||  
C  |||  EGYPTIAN
D  |||  Artists. Always to artists.
E  |||  
N  |||  The Eygptian looks nervously at Deckard,sees he
N  |||  means business and hastily begins to shuffle through a
N  |||  wad of receipts from a cigar box.
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  INT. TAFFEY'S SNAKE PIT BAR - NIGHT
E  |||  
N  |||  A big guy, back to camera is sitting at the bar in
N  |||  this sleazy joint.
E  |||  
M  |||  DECKARD (OS)
M  |||  You buy a snake off an Egyptian ?
E  |||  
N  |||  The big guy turns to face his questioner. His name
N  |||  is TAFFEY LEWIS big and bad and low-life. He looks
N  |||  like he's looking at a cockroach.
E  |||  
C  |||  TAFFEY
D  |||  Buzz off, fella.
E  |||  
N  |||  Deckard is searching in his pockets. He pulls a dirty
N  |||  handkerchief out, puts it on the bar, pulls out a
N  |||  crumpled pack of cigs from another pocket, a wad of
N  |||  money cards from another. He's putting all sorts of
N  |||  things on the bar. Among them is the picture of
N  |||  Rachael and her parents.
E  |||  
C  |||  DECKARD
D  |||  You ever see..... you ever se... ?
E  |||  
N  |||  At last he finds the photo of the reclining woman, shows
N  |||  it to Taffey.
E  |||  
C  |||  DECKARD
D  |||  You ever see this woman ?
E  |||  
N  |||  Taffey doesn't even look at the picture.
E  |||  
C  |||  TAFFEY
D  |||  Never saw her. Buzz off,pal.
E  |||  
N  |||  Deckard flashes his police card.
E  |||  
C  |||  DECKARD
D  |||  Got your licenses in order, old
D  |||  buddy ?
E  |||  
C  |||  TAFFEY
D  |||  Pal, I got a license to piss,
D  |||  I got a license to kiss,
D  |||  An' I got a license to pee at
D  |||  four in the morning.
E  |||  
N  |||  I got licenses for things I do with
N  |||  my wife an' I got licenses for things
N  |||  I don't do with my wife.
E  |||  
N  |||  I got licenses for bad dreams, pal.
N  |||  I got licenses you wouldn't believe.
N  |||  Now buzz the fuck off, okay ?
E  |||  
N  |||  Deckard seems blown away, puts his hands up, palms forward,
N  |||  surrendering.
E  |||  
C  |||  DECKARD
D  |||  Take it easy mister, don't get
D  |||  excited.
E  |||  
C  |||  TAFFEY
D  |||  Nobody pushes me around.
E  |||  
C  |||  DECKARD
D  |||  Forget I asked. My mistake.
D  |||  Water under the bridge.
E  |||  
N  |||  Taffey looks a little startled. It was this easy ? He's
N  |||  kind of pleased with himself now that he's firmly estab-
N  |||  lished his authority.
E  |||  
C  |||  TAFFEY
D  |||  No hard feelings. I just don't
D  |||  take a push, that's all.
E  |||  
C  |||  DECKARD
D  |||  No hard feelings.
E  |||  
C  |||  TAFFEY
D  |||  (to the bartender)
D  |||  Louis, the man's dry. Give him
D  |||  one on the house, huh ?
E  |||  
C  |||  BARTENDER
D  |||  Whatcha drinking ?
E  |||  
C  |||  DECKARD
D  |||  Smokey, dry.
E  |||  
C  |||  TAFFEY
D  |||  You assed about a snake.....
E  |||  
N  |||  Deckard is suddenly hopeful.
E  |||  
C  |||  DECKARD
D  |||  Yeah.....
E  |||  
C  |||  TAFFEY
D  |||  Wanna see a snake, huh?
E  |||  
N  |||  The Bartender puts a weird drink in front of Deckard...
N  |||  tiny worms floating in a viscous liquid.
E  |||  
N  |||  Deckard takes the drink like he was used to it and swigs.
E  |||  
C  |||  TAFFEY
D  |||  Louis, show the cop the snake,
D  |||  willya?
E  |||  
N  |||  The Bartender reaches under the bar and pulls out a
N  |||  large snake that writhes lazily on the bar. It is
N  |||  bright gold.
E  |||  
C  |||  DECKARD
D  |||  (disappointed)
D  |||  Wrong snake.
E  |||  
C  |||  TAFFEY
D  |||  Don't like gold ?
E  |||  
C  |||  DECKARD
D  |||  Gold's okay.
E  |||  
C  |||  TAFFEY
D  |||  Original paint job was shitty. Those
D  |||  fucking Egyptian's do crappy work.
E  |||  
C  |||  DECKARD
D  |||  How long ago did ya paint it?
E  |||  
C  |||  TAFFEY
D  |||  I dunno. Couple of months.
D  |||  Why ?
E  |||  
N  |||  Deckard looks discouraged, swigs the last of his drink.
E  |||  
C  |||  DECKARD
D  |||  No reason. Doesn't matter.
D  |||  (to the bartender)
D  |||  Gimmee another, willya?
E  |||  
N  |||  There is a burst of applause and they all look around
N  |||  toward the stage.
E  |||  
N  |||  A large egg has appeared on the stage, beside it a
N  |||  smaller egg.
E  |||  
C  |||  TAFFEY
D  |||  Getta loada this. New act.
D  |||  Very artistic, very sen-shoe-all.
D  |||  Beautiful.
E  |||  
N  |||  Music starts to play.
E  |||  
N  |||  Deckard looks bored and discouraged. Absently starts
N  |||  picking up his junk off the bar... the wads of money cards,
N  |||  cigarette packs, matches... the picture of Rachael. That
N  |||  catches his attention.
E  |||  
N  |||  Deckard stares at the picture for a long moment.
E  |||  
C  |||  DECKARD
D  |||  Gotta phone ?
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  INT. TAFFEY'S BAR MOMENTS LATER
E  |||  
N  |||  Deckard is at a telephone not far from the bar. He's
N  |||  got the phone hooked between his shoulder and ear while
N  |||  he notes a number.
E  |||  
C  |||  DECKARD
D  |||  .......six six five. Thanks.
E  |||  
N  |||  Deckard breaks the connection, then starts punching the
N  |||  numbers.
E  |||  
N  |||  Behind him the stage show is progressing. A beautiful
N  |||  woman named SALOME is emerging from the large egg, very
N  |||  scantily clad, an erotic birth scene.
E  |||  
N  |||  Rachael appears on the telephone vid-screen.
E  |||  
C  |||  RACHAEL
D  |||  Hello.
E  |||  
C  |||  DECKARD
D  |||  People have walked out on me
D  |||  before... but never when I was
D  |||  being charming.
E  |||  
N  |||  Rachael freezes when she see who it is. Says nothing.
E  |||  
C  |||  DECKARD
D  |||  Ya missed out on the drink I
D  |||  poured ya.
E  |||  
N  |||  Rachael still says nothing.
E  |||  
C  |||  DECKARD
D  |||  Wanna try again ?
E  |||  
N  |||  For a long moment it seems Rachael isn't going to say
N  |||  anything.
E  |||  
N  |||  Rachael is bitter.
E  |||  
C  |||  RACHAEL
D  |||  (on Vid-screen)
D  |||  Hunting... "skin jobs "?
E  |||  
C  |||  DECKARD
D  |||  Didn't find any.All I found was a bar.
D  |||  Why waste it ?
E  |||  
C  |||  RACHAEL
D  |||  (on vid-screen)
D  |||  Not my kind of place I'm afraid.
E  |||  
C  |||  DECKARD
D  |||  Meet me here. We'll go someplace
D  |||  else. It's in the Fourth Sector....
E  |||  
N  |||  Something on the stage catches Deckard's eye. He frowns.
E  |||  
N  |||  On stage, a snake has emerged from the second egg.
E  |||  
N  |||  Deckard is suddenly pre-occupied with the stage show as
N  |||  he absently gives the address over the phone.
E  |||  
C  |||  DECKARD
D  |||  ...... the Fourth Sector, on the line.
D  |||  Taffey Lewis' Snake Pit.
E  |||  
C  |||  RACHAEL
D  |||  I don't think so Mr. Deckard.
D  |||  As I said......
E  |||  
N  |||  Deckard is staring at the stage show.
E  |||  
C  |||  DECKARD
D  |||  (absently)
D  |||  See ya in a half hour.
E  |||  
N  |||  He hangs up.
E  |||  
N  |||  On stage, the snake and Salome are into sexy stuff.
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  INT. BACKSTAGE A LITTLE LATER
E  |||  
N  |||  You can hear applause and catcalls from the audience
N  |||  as Salome flounces backstage. She starts toward the
N  |||  dressing room.
E  |||  
N  |||  Deckard emerges from the shadow.
E  |||  
C  |||  DECKARD
D  |||  Excuse me, Miss Salome....
E  |||  
N  |||  She turns. Deckard's posture and attitude suggest humble,
N  |||  sleazy persistence. He comes closer with his shit-eating
N  |||  grin.
E  |||  
C  |||  DECKARD
D  |||  I'd like to have a word with you
D  |||  if I could.
E  |||  
N  |||  Salome stands almost six feet tall in her high heels and
N  |||  looks down on him with haughty suspicion... a girl who
N  |||  knows how to handle cheap hits.
E  |||  
C  |||  SALOME
D  |||  Yeah ?
E  |||  
C  |||  DECKARD
D  |||  I'm with the American Federation of
D  |||  Variety Artists....
E  |||  
N  |||  He holds up a hand as if to stop her from protesting.
E  |||  
C  |||  DECKARD
D  |||  Don't worry, I'm not here to
D  |||  make you join... that's not my department.
E  |||  
N  |||  He glances around like a guy who's not supposed to be
N  |||  there.
E  |||  
C  |||  DECKARD
D  |||  I'm an investigator for the Confidential
D  |||  Committee on Moral Abuses.
E  |||  
N  |||  She nods, taking it a little more seriously.
E  |||  
C  |||  DECKARD
D  |||  There's been reports of the
D  |||  management taking liberties with
D  |||  the artists in this place.
E  |||  
C  |||  SALOME
D  |||  I don't know nothing about it.
E  |||  
C  |||  DECKARD
D  |||  You haven't felt yourself to be
D  |||  exploited by the management in
D  |||  any way?
E  |||  
N  |||  She's definitely puzzled.
E  |||  
C  |||  SALOME
D  |||  How do you mean 'exploited'?
E  |||  
C  |||  DECKARD
D  |||  Like to get this job... did you
D  |||  or were you asked to do anything
D  |||  lewd or unsavory or otherwise
D  |||  repulsive to your person?
E  |||  
C  |||  SALOME
D  |||  Are you for real?
E  |||  
C  |||  DECKARD
D  |||  Oh, yeah. You'd be surprised
